,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
180,37579,37810,37839,37672,37206,36948,36993,37067,37200,37718,38228,38332,38278,38461,38778,39019,39337,39846,40446,40818,41409
181,33398,33811,34172,34317,34127,33961,34077,34224,34360,34686,34893,35279,35548,35747,36116,36611,37243,37860,38535,38930,39349
182,26480,27145,27262,26953,26953,26934,26787,26507,26150,25736,25595,26041,26506,27084,27576,28151,28498,29006,29648,30039,30517
183,55643,56097,57000,57674,58148,58953,59461,59889,60149,60446,61013,61920,62996,64476,65500,67077,68470,70305,71987,72552,74273
184,89668,90519,92287,93742,94272,94993,95329,95765,96074,95927,96343,97397,98779,100579,101940,103747,105824,107679,109922,111099,112333
185,46663,47241,48106,48578,49238,49679,51029,51839,52661,53596,55021,56007,56560,56979,57082,57709,58461,58826,59837,60527,60897
186,37339,38299,39045,40191,41320,42048,43040,43756,44673,45649,46644,47992,49089,49514,49866,50359,50839,50944,51266,51650,52239
187,36376,38315,40099,41732,43345,44477,45707,47223,48976,50760,52268,53837,55190,56153,56747,57566,58443,59430,60640,61451,62272
188,10201,10765,11308,11677,12026,12294,12621,13003,13299,13707,14088,14509,15291,15762,16198,16487,16929,17087,17447,17669,17713
189,10780,11741,13173,14280,15581,16504,18151,19959,21317,22424,23936,24622,25681,26494,27030,27867,29091,29957,30762,31559,32161
190,29730,32047,33976,35647,37626,39129,40531,41382,42450,43788,45036,47469,50621,52841,54629,56570,58655,60534,62423,63879,64885
191,21053,22984,24982,27232,30694,33205,35391,37302,40328,43353,45959,49361,52963,56575,62121,67194,74759,82404,88642,92982,97116
192,9876,11986,14259,16712,20115,22011,23653,25188,26314,28117,29690,32574,35706,38862,40908,42313,44277,45437,46207,46511,47200
193,34524,35733,37143,39411,41637,43091,44123,44876,45403,45951,46673,47752,48415,49262,50095,51573,52550,53693,55278,56449,56993
194,24220,24385,24460,24938,25762,26598,27411,28316,29152,30053,30862,31354,32597,33518,34257,34935,35814,36287,36631,36953,37290
195,36713,36977,38240,40376,42030,43568,44547,46112,48004,49824,51476,53282,55638,57682,58542,59318,60618,62034,63380,64801,66190
196,39774,40635,42142,43491,44640,45715,46105,46539,46961,47204,47490,47888,48597,49281,50769,52096,53092,54352,56098,57484,58452
197,76864,77488,78400,79114,79554,80021,80321,80304,79998,80228,80660,81786,83043,84443,86051,87703,89399,91667,94430,96323,97916
