"","sex","SA3","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011"
"794","M",50201,18813,19907,20966,22172,23479,24609,25702,26702,27280,28381,29346,29833,31235,32856,34154,35386,36691,38629,40420,41388,43024
"796","F",50301,33081,33111,32985,32964,33025,33219,33304,33285,33314,33464,33849,33784,33720,33732,33736,33691,33914,34282,34674,34880,35379
"797","M",50301,30436,30534,30512,30598,30741,30942,31001,31026,31155,31249,31271,31524,31711,31782,31920,32123,32305,32699,33039,33158,33383
"799","F",50302,34248,34574,34731,34836,35096,35564,35795,35979,36414,36789,37164,37917,38566,39324,40303,41188,42686,44390,46260,47325,48576
"800","M",50302,33969,34215,34309,34396,34628,35006,35498,35766,36178,36535,37096,38121,39108,40186,41537,42884,44358,46261,48280,49343,50636
"802","F",50401,35398,35492,35299,35168,35094,35249,35192,35324,35603,35810,36005,36105,35959,35896,35762,36204,36968,37916,38768,39492,40324
"803","M",50401,35782,35831,35579,35425,35285,35385,34999,35022,35287,35581,35825,35818,35882,35884,35802,36584,37280,38353,39312,40023,40921
"805","F",50402,17050,17310,17492,17679,18057,18448,18684,18880,19134,19206,19605,19589,19590,19600,19590,19572,19663,19797,20075,20252,20561
"806","M",50402,17450,17660,17799,17946,18286,18619,18883,19127,19429,19499,19639,19905,20095,20179,20470,20614,20746,20965,21323,21537,21865
"808","F",50403,24319,25635,27363,29508,31393,32858,34445,36011,37160,38206,39941,41087,42193,43126,44100,45549,47587,49510,51379,52801,54268
"809","M",50403,24889,26172,27848,29980,31791,33198,34851,36478,37727,38780,40042,41168,42301,43335,44351,45799,47713,49691,51521,52890,54445
"811","F",50501,63955,65806,67851,70141,72378,73844,74568,75909,76794,77689,78794,78856,78896,78862,78370,78417,78795,79287,79812,80367,81580
"812","M",50501,64760,66551,68577,70851,73042,74404,75697,77093,77459,77277,77616,77964,78171,78356,78083,78153,78430,78888,79344,79686,80625
