"Index","Code","Area","Period-Cohort","F_ASDRs 2001-06","F_ASDRs 2006-11","M_ASDRs 2001-06","M_ASDRs 2006-11","F_ASOMRs 2001-06","F_ASOMRs 2006-11","M_ASOMRs 2001-06","M_ASOMRs 2006-11","F_inward 2001-06","F_inward 2006-11","M_inward 2001-06","M_inward 2006-11","Age-Cohort","ASFRs 2001-06","ASFRs 2006-11"
169,30403,"Sherwood - Indooroopilly","15-19 - 20-24",0.000297947016895218,0.000260640972060773,0.000787555729046002,0.000656648105748834,0.103290994465937,0.103290994465937,0.079432886171188,0.079432886171188,2432.91497196233,2432.91497196233,2009.93014546719,2009.93014546719,"15–19",0.0073333719001854,0.0073333719001854
169,30403,"Sherwood - Indooroopilly","20-24 - 25-29",0.000337623895513069,0.000310033469667663,0.000877449245439579,0.000755032479250518,0.221605411292803,0.221605411292803,0.204979724736979,0.204979724736979,1544.98196098633,1544.98196098633,1431.21426162172,1431.21426162172,"20–24",0.0275469687095373,0.0275469687095373
169,30403,"Sherwood - Indooroopilly","25-29 - 30-34",0.000427834873325616,0.000410113894020115,0.000972290862302913,0.00086054188405888,0.171030277100162,0.171030277100162,0.168797075765863,0.168797075765863,938.244578719777,938.244578719777,1014.60289641901,1014.60289641901,"25–29",0.0549066410837064,0.0549066410837064
169,30403,"Sherwood - Indooroopilly","30-34 - 35-39",0.000569061427818913,0.000547520486602868,0.00115473250860176,0.00107555125723,0.116976194242422,0.116976194242422,0.12322564988176,0.12322564988176,629.768635698976,629.768635698976,680.978438402929,680.978438402929,"30–34",0.0705891073181893,0.0705891073181893
169,30403,"Sherwood - Indooroopilly","35-39 - 40-44",0.000804740162460601,0.000770404635859876,0.00149542192577888,0.00142066163571895,0.0837713154981214,0.0837713154981214,0.0905712430803572,0.0905712430803572,483.67439500083,483.67439500083,522.003084868974,522.003084868974,"35–39",0.0408089899946466,0.0408089899946466
169,30403,"Sherwood - Indooroopilly","40-44 - 45-49",0.00131098481202602,0.00125994751527894,0.00209712339318576,0.00197666214750718,0.0593301113357789,0.0593301113357789,0.0638061816391679,0.0638061816391679,405.797430309848,405.797430309848,406.554087331239,406.554087331239,"40–44",0.00875250182585978,0.00875250182585978
169,30403,"Sherwood - Indooroopilly","45-49 - 50-54",0.00200654502160826,0.00187338468641509,0.00323607291907735,0.00299671969219638,0.05340826501889,0.05340826501889,0.0558418980262844,0.0558418980262844,344.30230334159,344.30230334159,328.802041720249,328.802041720249,"45–49",0.00061951864775633,0.00061951864775633
169,30403,"Sherwood - Indooroopilly","50-54 - 55-59",0.00308453545785501,0.00285688088269822,0.00526968609681167,0.0047452177837632,0.0528072061510564,0.0528072061510564,0.0528072061510564,0.0528072061510564,223.99438232674,223.99438232674,221.516648957543,221.516648957543,NA,NA,NA
169,30403,"Sherwood - Indooroopilly","55-59 - 60-64",0.00469494791081026,0.00426761827002648,0.00852222006274419,0.00749149349307599,0.0497885468944836,0.0497885468944836,0.0497885468944836,0.0497885468944836,144.697538055837,144.697538055837,146.751275168525,146.751275168525,NA,NA,NA
169,30403,"Sherwood - Indooroopilly","60-64 - 65-69",0.00727299496160703,0.00644596810936636,0.0135351853723144,0.0116476739984385,0.0466326166886514,0.0466326166886514,0.0466326166886514,0.0466326166886514,109.381075020339,109.381075020339,106.508780998784,106.508780998784,NA,NA,NA
169,30403,"Sherwood - Indooroopilly","65-69 - 70-74",0.012100529265112,0.0107861447121326,0.0212243919037463,0.0183113419448556,0.0370551771518032,0.0370551771518032,0.0370551771518032,0.0370551771518032,114.815671909225,114.815671909225,105.380798575912,105.380798575912,NA,NA,NA
169,30403,"Sherwood - Indooroopilly","70-74 - 75-79",0.0208335833026167,0.0187235428726125,0.0345075703408449,0.0302988745946289,0.027323607991726,0.027323607991726,0.027323607991726,0.027323607991726,102.764192212589,102.764192212589,60.5734506593833,60.5734506593833,NA,NA,NA
169,30403,"Sherwood - Indooroopilly","75-79 - 80-84",0.0374817106103868,0.0342994957926486,0.0570556314746315,0.0516861727413707,0.0171036464473787,0.0171036464473787,0.0171036464473787,0.0171036464473787,49.658565598346,49.658565598346,49.658565598346,49.658565598346,NA,NA,NA
169,30403,"Sherwood - Indooroopilly","80+ - 85+",0.117734864071762,0.115183690995724,0.138077965889707,0.134487050915137,0.010542969216976,0.010542969216976,0.010542969216976,0.010542969216976,33.8378621244928,33.8378621244928,33.8378621244928,33.8378621244928,NA,NA,NA
170,30404,"The Gap - Enoggera","Birth - 0-4",0.00191173952852498,0.00157795060362072,0.00240817148394991,0.00195115058116468,0.103837340709083,0.103837340709083,0.105099913846871,0.105099913846871,361.635821675256,361.635821675256,384.964108709946,384.964108709946,NA,NA,NA
170,30404,"The Gap - Enoggera","0-4 - 5-9",0.000143842403499296,0.000119515064524541,0.000221464698388491,0.000177580292157855,0.0855918371716491,0.0855918371716491,0.0855440507987053,0.0855440507987053,595.031352808172,595.031352808172,654.386283224946,654.386283224946,NA,NA,NA
170,30404,"The Gap - Enoggera","5-9 - 10-14",8.37862006287202e-05,7.04322557881296e-05,0.000131479425574852,0.000112598703585133,0.0627072980345618,0.0627072980345618,0.0611426012440989,0.0611426012440989,535.409464976114,535.409464976114,527.373790492058,527.373790492058,NA,NA,NA
170,30404,"The Gap - Enoggera","10-14 - 15-19",0.00016878794809056,0.000145815226507456,0.000320677552646044,0.000269986210045276,0.0669949354638529,0.0669949354638529,0.0581688675197337,0.0581688675197337,605.210680550371,605.210680550371,577.592016995449,577.592016995449,NA,NA,NA
